name,email,date_of_birth,mobile_no,name_clean,failure_reason
Mr. Larry Grimes MD,Larry_Grimes@lewis-richardson.info,12/31/2005,966177,Larry Grimes,invalid_mobile;below_18
Joseph Arnold,Joseph_Arnold@gibbs.biz,08/21/2005,2019270,Joseph Arnold,invalid_mobile;below_18
Kyle Long,Kyle_Long@galvan.com,07/13/1992,2785329,Kyle Long,invalid_mobile
Brittany Day,Brittany_Day@brown.info,2018/05/22,61597047,Brittany Day,below_18
Thomas Lee,Thomas_Lee@wilson-allen.com,10/28/1996,91381,Thomas Lee,invalid_mobile
Jennifer Hansen,Jennifer_Hansen@nelson.biz,06/28/1963,308547,Jennifer Hansen,invalid_mobile
Lisa Murray,Lisa_Murray@mcclain.net,2011-07-09,3172233,Lisa Murray,invalid_mobile;below_18
Meghan Wade,Meghan_Wade@garcia-brown.org,09/15/1982,610719,Meghan Wade,invalid_mobile
Tammie Brooks,Tammie_Brooks@james.com,1962/09/14,114957,Tammie Brooks,invalid_mobile
Maria Bell,Maria_Bell@lambert-lamb.com,2018/10/26,60030719,Maria Bell,below_18
Allison Livingston,Allison_Livingston@jones-thompson.com,1950/12/01,503175,Allison Livingston,invalid_mobile
Chris Hays,Chris_Hays@todd-mccoy.info,08/27/1951,2661590,Chris Hays,invalid_mobile
Courtney Mitchell,Courtney_Mitchell@dominguez.biz,27-12-1981,657699,Courtney Mitchell,invalid_mobile
Shawn White,Shawn_White@kerr.com,1960/09/15,21631,Shawn White,invalid_mobile
Zachary Watts,Zachary_Watts@nguyen-whitehead.info,1984-12-30,3427810,Zachary Watts,invalid_mobile
Sarah Montoya,Sarah_Montoya@jackson.com,2000-11-07,31426,Sarah Montoya,invalid_mobile
Jennifer Barker,Jennifer_Barker@wilson.net,2011/05/26,61006,Jennifer Barker,invalid_mobile;below_18
Tiffany Stevens,Tiffany_Stevens@estrada.com,05/23/1962,6246556,Tiffany Stevens,invalid_mobile
Ruben Armstrong,Ruben_Armstrong@watkins.com,10-09-2015,6962936,Ruben Armstrong,invalid_mobile;below_18
Dr. Jeffrey Spencer,Jeffrey_Spencer@cooke.com,1982/12/29,19976,Jeffrey Spencer,invalid_mobile
Nicole Ramsey,Nicole_Ramsey@vega.biz,1970/07/11,340839,Nicole Ramsey,invalid_mobile
Anne Roy,Anne_Roy@humphrey-smith.com,1969/08/27,87811,Anne Roy,invalid_mobile
Allison Chavez,Allison_Chavez@lewis.biz,1984-08-18,64931,Allison Chavez,invalid_mobile
Marcus Adams,Marcus_Adams@perry.info,01/22/1985,5901652,Marcus Adams,invalid_mobile
Mary Smith,Mary_Smith@meyer.net,1993/07/17,64046,Mary Smith,invalid_mobile
Joseph Reed,Joseph_Reed@kelley.com,12/20/1951,1879 8163,Joseph Reed,invalid_mobile
Jeff Armstrong,Jeff_Armstrong@kennedy-lucas.com,1954-03-01,88331,Jeff Armstrong,invalid_mobile
Sean Shields,Sean_Shields@christian.info,2001/02/16,617613,Sean Shields,invalid_mobile
Christian Grant,Christian_Grant@booker-frank.com,09/23/1979,8851893,Christian Grant,invalid_mobile
Edward Watson,Edward_Watson@brooks.com,2007-12-04,946371,Edward Watson,invalid_mobile;below_18
Derrick Cooke,Derrick_Cooke@hill.net,2004-09-15,4575922,Derrick Cooke,invalid_mobile;below_18
Sean Patrick,Sean_Patrick@rivera.com,25-10-2000,41681,Sean Patrick,invalid_mobile
Heather Collins,Heather_Collins@williams.com,1986/12/03,910971,Heather Collins,invalid_mobile
Megan Gomez,Megan_Gomez@wade-stone.com,2008-01-29,3002476,Megan Gomez,invalid_mobile;below_18
William Hale,William_Hale@pena.info,22-04-2007,4519208,William Hale,invalid_mobile;below_18
Olivia Thompson,Olivia_Thompson@bryan-navarro.com,30-11-2005,481533,Olivia Thompson,invalid_mobile;below_18
Lori Torres,Lori_Torres@hill.net,1996/10/13,5795175,Lori Torres,invalid_mobile
Vickie Hernandez,Vickie_Hernandez@chapman.com,02/14/1963,25106,Vickie Hernandez,invalid_mobile
Kimberly Brown,Kimberly_Brown@jones.com,11/23/1960,820029,Kimberly Brown,invalid_mobile
Phillip Hansen,Phillip_Hansen@spence.com,2010/06/23,816429,Phillip Hansen,invalid_mobile;below_18
Jeanette Knight,Jeanette_Knight@carey.com,1952/01/30,72491,Jeanette Knight,invalid_mobile
Kayla Hanson,Kayla_Hanson@clay.biz,10-08-1967,6484759,Kayla Hanson,invalid_mobile
Dr. John Porter,John_Porter@cobb-lee.com,07-10-1985,4437021,John Porter,invalid_mobile
Elizabeth Reyes,Elizabeth_Reyes@roberson.com,31-01-1955,32301,Elizabeth Reyes,invalid_mobile
Kristen Henry,Kristen_Henry@parker.com,07-02-2014,675081,Kristen Henry,invalid_mobile;below_18
Claudia Anderson,Claudia_Anderson@smith-lynch.info,05-10-2012,53767631,Claudia Anderson,below_18
Nicholas Webb,Nicholas_Webb@johnson.com,11/03/1953,993549,Nicholas Webb,invalid_mobile
Allison Cooper,Allison_Cooper@taylor.biz,2001/12/05,93151,Allison Cooper,invalid_mobile
Zachary Barnes,Zachary_Barnes@horne.biz,2005-05-03,41935039,Zachary Barnes,below_18
Gregory Hill III,Gregory_Hill@sims-sparks.net,1991/11/02,2850534,Gregory Hill III,invalid_mobile
Terry Ayers,Terry_Ayers@morris.com,2007-08-06,76391,Terry Ayers,invalid_mobile;below_18
Jessica Wilson,Jessica_Wilson@nichols.com,11/15/1954,662205,Jessica Wilson,invalid_mobile
Daniel Frazier,Daniel_Frazier@reilly.org,26-10-2017,2907584,Daniel Frazier,invalid_mobile;below_18
Brian Welch,Brian_Welch@armstrong.net,11-11-2005,417927,Brian Welch,invalid_mobile;below_18
Carol Chavez,Carol_Chavez@cantu-shelton.com,07/03/2004,4824387,Carol Chavez,invalid_mobile;below_18
Ethan Mcdonald,Ethan_Mcdonald@lewis.com,1990-01-15,57126,Ethan Mcdonald,invalid_mobile
Gerald Martinez,Gerald_Martinez@jenkins-barnes.net,1986/07/01,30641,Gerald Martinez,invalid_mobile
Eric King,Eric_King@graham.com,14-09-1970,895557,Eric King,invalid_mobile
Sylvia Walters,Sylvia_Walters@archer.com,2009-02-14,64876,Sylvia Walters,invalid_mobile;below_18
Jonathan Lane,Jonathan_Lane@wright.com,2008/01/09,935133,Jonathan Lane,invalid_mobile;below_18
Jeffrey Bauer,Jeffrey_Bauer@garza.com,08/13/1966,5115 4803,Jeffrey Bauer,invalid_mobile
Jessica Shaffer,Jessica_Shaffer@alexander.com,2013-03-05,1444542,Jessica Shaffer,invalid_mobile;below_18
Chris Spencer,Chris_Spencer@pacheco.net,04/19/1993,45821,Chris Spencer,invalid_mobile
Mary Clarke,Mary_Clarke@jacobs-martin.org,03/05/1959,6620314,Mary Clarke,invalid_mobile
Timothy Mendoza,Timothy_Mendoza@rodriguez-crawford.com,1979/12/22,45876,Timothy Mendoza,invalid_mobile
Alicia Hoffman,Alicia_Hoffman@gomez.com,2011-07-16,633645,Alicia Hoffman,invalid_mobile;below_18
Joseph Gardner,Joseph_Gardner@bray.com,18-01-1953,18996,Joseph Gardner,invalid_mobile
Rachael Rangel,Rachael_Rangel@marquez.biz,1980-06-18,88691,Rachael Rangel,invalid_mobile
Jeffrey Harrington,Jeffrey_Harrington@smith.com,07-08-1966,76691,Jeffrey Harrington,invalid_mobile
Debbie Freeman,Debbie_Freeman@thompson.net,27-04-2010,699285,Debbie Freeman,invalid_mobile;below_18
Matthew Braun,Matthew_Braun@logan.net,1974/04/28,4133403,Matthew Braun,invalid_mobile
Sheri Hudson,Sheri_Hudson@smith.com,20-09-2009,18706439,Sheri Hudson,below_18
Mary King,Mary_King@thomas-bates.com,05-03-2016,9495998,Mary King,invalid_mobile;below_18
Beth Davis,Beth_Davis@hernandez.com,26-09-2010,169533,Beth Davis,invalid_mobile;below_18
Margaret Castillo,Margaret_Castillo@gross.biz,12-12-1960,374415,Margaret Castillo,invalid_mobile
Tommy Sandoval,Tommy_Sandoval@fischer.com,24-07-1966,266061,Tommy Sandoval,invalid_mobile
Christopher Hines,Christopher_Hines@long-hammond.com,10/09/2015,11201,Christopher Hines,invalid_mobile;below_18
Richard Wright,Richard_Wright@griffin-fletcher.info,06-01-2006,539817,Richard Wright,invalid_mobile;below_18
Michael Brown,Michael_Brown@smith-schmidt.net,2012/06/18,47713991,Michael Brown,below_18
Nathan Yu,Nathan_Yu@murray.com,2001-11-12,67541,Nathan Yu,invalid_mobile
Cameron Ford,Cameron_Ford@finley-vazquez.org,05/23/1966,606009,Cameron Ford,invalid_mobile
Carla Hayes,Carla_Hayes@singh-ponce.net,03/01/1983,6159196,Carla Hayes,invalid_mobile
Marissa Matthews,Marissa_Matthews@graves.com,02/21/1972,2063 6447,Marissa Matthews,invalid_mobile
Gary Figueroa,Gary_Figueroa@hernandez.com,07/11/1963,3026717,Gary Figueroa,invalid_mobile
Michael West,Michael_West@rojas.net,2011-07-23,2103781,Michael West,invalid_mobile;below_18
Martin Walton,Martin_Walton@grant.org,2011/05/12,593379,Martin Walton,invalid_mobile;below_18
Christopher Stephenson,Christopher_Stephenson@wade.com,05/06/1962,435111,Christopher Stephenson,invalid_mobile
Eric Ortiz,Eric_Ortiz@johnson.com,2005-02-08,3593234,Eric Ortiz,invalid_mobile;below_18
Andrew Cowan,Andrew_Cowan@gray-young.info,22-08-1961,128361,Andrew Cowan,invalid_mobile
Rhonda Moss DDS,Rhonda_Moss@nelson.com,1951/12/30,817173,Rhonda Moss,invalid_mobile
Sarah Williams,Sarah_Williams@morris.org,05-06-1985,553179,Sarah Williams,invalid_mobile
Carolyn Collins,Carolyn_Collins@taylor.info,1996/12/26,82871,Carolyn Collins,invalid_mobile
Larry Mooney,Larry_Mooney@west-sanchez.info,2010-10-28,61381,Larry Mooney,invalid_mobile;below_18
Laura Livingston,Laura_Livingston@ponce.biz,1991-03-07,178515,Laura Livingston,invalid_mobile
Candace Mckenzie,Candace_Mckenzie@evans-fields.com,03/18/1952,4009167,Candace Mckenzie,invalid_mobile
Candace Wallace,Candace_Wallace@dickerson.com,05-08-1998,45146,Candace Wallace,invalid_mobile
Jason White,Jason_White@hill.org,05-05-2005,186057,Jason White,invalid_mobile;below_18
Patricia Reynolds,Patricia_Reynolds@holt-sweeney.com,2012/05/08,21775831,Patricia Reynolds,below_18
Michael Ellison,Michael_Ellison@brown.com,1988/04/07,398331,Michael Ellison,invalid_mobile
Melissa Robles,Melissa_Robles@ryan-meyers.com,05/19/1980,90836,Melissa Robles,invalid_mobile
Heidi Fry,Heidi_Fry@ross.org,07/02/1998,82436,Heidi Fry,invalid_mobile
Charles Ruiz,Charles_Ruiz@sullivan-jones.com,01/13/1968,8515 8255,Charles Ruiz,invalid_mobile
Stephanie Green DDS,Stephanie_Green@collins.com,2011-11-12,736485,Stephanie Green,invalid_mobile;below_18
Stacey Garcia,Stacey_Garcia@dalton-henry.com,1987/01/20,72151,Stacey Garcia,invalid_mobile
Glenda Burke,Glenda_Burke@smith.biz,14-03-1976,83726,Glenda Burke,invalid_mobile
Zachary Alvarez,Zachary_Alvarez@kelly.com,2001-09-10,25626,Zachary Alvarez,invalid_mobile
Rachel Shaw,Rachel_Shaw@stevenson-martinez.com,12/23/1958,6651 1687,Rachel Shaw,invalid_mobile
Carmen Beard,Carmen_Beard@estrada.net,2016/02/29,60170903,Carmen Beard,below_18
Tony Daniels,Tony_Daniels@arellano.com,06/14/1976,9584653,Tony Daniels,invalid_mobile
George Aguirre,George_Aguirre@herrera.com,2002/12/01,615255,George Aguirre,invalid_mobile
James Miller,James_Miller@nguyen.com,08/31/1971,6491 7031,James Miller,invalid_mobile
April Taylor,April_Taylor@barnes.net,2010-09-15,44364927,April Taylor,below_18
Robert Johnson,Robert_Johnson@kelly.com,03/10/1956,7776119,Robert Johnson,invalid_mobile
Gary White,Gary_White@brown.org,12/31/1962,3255036,Gary White,invalid_mobile
Kim Lowe,Kim_Lowe@pratt.com,11-06-1953,7925947,Kim Lowe,invalid_mobile
Samantha Jones,Samantha_Jones@cortez-frazier.biz,07/21/1955,8965083,Samantha Jones,invalid_mobile
Randy Lozano,Randy_Lozano@patton-peters.com,30-01-1970,469011,Randy Lozano,invalid_mobile
Arthur Chavez,Arthur_Chavez@lyons.com,1988/01/01,398565,Arthur Chavez,invalid_mobile
Melissa Miller,Melissa_Miller@anderson-hayes.com,25-02-2011,45981,Melissa Miller,invalid_mobile;below_18
Leslie Mccormick,Leslie_Mccormick@moore.com,26-10-1968,240375,Leslie Mccormick,invalid_mobile
Carlos Rubio,Carlos_Rubio@maynard.org,17-06-2017,8913535,Carlos Rubio,invalid_mobile;below_18
David York,David_York@shaffer.biz,07/14/1998,628659,David York,invalid_mobile
Olivia Poole,Olivia_Poole@blake.com,04/18/1977,7408416,Olivia Poole,invalid_mobile
Wayne Wilson,Wayne_Wilson@christian.com,1958/02/14,8696654,Wayne Wilson,invalid_mobile
Janice Campbell,Janice_Campbell@davis-ryan.com,15-03-1950,951693,Janice Campbell,invalid_mobile
Julie Johnson,Julie_Johnson@brown-murray.biz,2006/06/06,754581,Julie Johnson,invalid_mobile;below_18
Robert Soto,Robert_Soto@huffman.org,21-02-1964,157035,Robert Soto,invalid_mobile
Brenda Cowan,Brenda_Cowan@white-marsh.com,1960/08/24,401061,Brenda Cowan,invalid_mobile
Kayla Taylor,Kayla_Taylor@ball.biz,1955-03-23,798915,Kayla Taylor,invalid_mobile
Antonio Garcia,Antonio_Garcia@williamson-warren.com,1969-01-23,8287959,Antonio Garcia,invalid_mobile
Tyler Cisneros,Tyler_Cisneros@frye-velasquez.info,31-05-1969,581631,Tyler Cisneros,invalid_mobile
Jillian Crawford,Jillian_Crawford@may-meza.com,1980-06-21,638457,Jillian Crawford,invalid_mobile
Karl Pierce,Karl_Pierce@aguilar.com,04/28/1999,4696945,Karl Pierce,invalid_mobile
Joann Taylor,Joann_Taylor@hernandez.com,09/07/1985,645597,Joann Taylor,invalid_mobile
Jennifer Jenkins,Jennifer_Jenkins@gilmore-king.com,12/21/1992,689985,Jennifer Jenkins,invalid_mobile
Nancy Brown,Nancy_Brown@alexander.com,1969-05-01,40586,Nancy Brown,invalid_mobile
Emma Munoz,Emma_Munoz@hill.com,1967/10/17,3247525,Emma Munoz,invalid_mobile
Melissa Mcguire,Melissa_Mcguire@smith-payne.org,1975/04/02,7129991,Melissa Mcguire,invalid_mobile
Bryan Chavez,Bryan_Chavez@campbell-boyd.com,08-09-2002,686979,Bryan Chavez,invalid_mobile
Fernando Salazar,Fernando_Salazar@humphrey.com,04/19/1972,7119 2443,Fernando Salazar,invalid_mobile
Megan Moore,Megan_Moore@sanchez.com,02/07/1955,6151034,Megan Moore,invalid_mobile
Robert Williams,Robert_Williams@rogers.net,09-03-1984,5827648,Robert Williams,invalid_mobile
Kimberly Herrera,Kimberly_Herrera@stevens.com,1987-06-15,274011,Kimberly Herrera,invalid_mobile
Gloria Potts,Gloria_Potts@kidd.org,20-11-1956,93061,Gloria Potts,invalid_mobile
Suzanne Barnett,Suzanne_Barnett@norman-payne.com,1952-08-28,856419,Suzanne Barnett,invalid_mobile
Kylie Thomas,Kylie_Thomas@thomas.com,1996/10/05,950613,Kylie Thomas,invalid_mobile
Christopher Matthews,Christopher_Matthews@holloway.com,18-04-1969,5612601,Christopher Matthews,invalid_mobile
Nicole Parks,Nicole_Parks@haney-hahn.org,2005-05-09,4168158,Nicole Parks,invalid_mobile;below_18
Kevin Chambers,Kevin_Chambers@brown-miller.com,1996-12-03,31371,Kevin Chambers,invalid_mobile
Kimberly Lawson,Kimberly_Lawson@bennett-fletcher.com,1968/08/24,8918561,Kimberly Lawson,invalid_mobile
Rachel Lopez,Rachel_Lopez@nichols.com,08/14/1964,88726,Rachel Lopez,invalid_mobile
Christopher Clay,Christopher_Clay@clark-brown.biz,2017-04-21,563625,Christopher Clay,invalid_mobile;below_18
Daniel Martin,Daniel_Martin@mendez-miller.com,1961-09-29,2787681,Daniel Martin,invalid_mobile
William Taylor,William_Taylor@garcia-bush.net,11/04/1955,374985,William Taylor,invalid_mobile
Steven Johnson,Steven_Johnson@hall.com,2005-07-16,95881,Steven Johnson,invalid_mobile;below_18
Taylor Bryant,Taylor_Bryant@walker.com,04/06/2016,80016,Taylor Bryant,invalid_mobile;below_18
Lauren Jones,Lauren_Jones@castaneda.com,07/24/1987,9651 2831,Lauren Jones,invalid_mobile
Lindsey Robertson,Lindsey_Robertson@solomon.com,06/03/1970,51586,Lindsey Robertson,invalid_mobile
Allison Thomas,Allison_Thomas@phillips-garcia.com,13-02-1968,5959150,Allison Thomas,invalid_mobile
Susan Parsons,Susan_Parsons@carter.biz,07/29/1994,724803,Susan Parsons,invalid_mobile
Brady Snyder,Brady_Snyder@archer.com,15-06-1999,703269,Brady Snyder,invalid_mobile
Brent Mcgrath,Brent_Mcgrath@jackson-maxwell.info,2017/02/26,225897,Brent Mcgrath,invalid_mobile;below_18
Peter Smith,Peter_Smith@wright.com,12/29/1950,707703,Peter Smith,invalid_mobile
Deborah Fox,Deborah_Fox@watts.org,2017/02/22,3735915,Deborah Fox,invalid_mobile;below_18
Heather Collins,Heather_Collins@daniels.com,2017/08/20,880443,Heather Collins,invalid_mobile;below_18
Misty Ramirez,Misty_Ramirez@chavez.com,23-10-2014,1951391,Misty Ramirez,invalid_mobile;below_18
Scott Johnson,Scott_Johnson@davis.com,03/11/1965,682641,Scott Johnson,invalid_mobile
Jay Nixon,Jay_Nixon@brown-sanchez.info,1961/08/29,128097,Jay Nixon,invalid_mobile
Tony Hall,Tony_Hall@david.com,2009-02-16,8117866,Tony Hall,invalid_mobile;below_18
Taylor Smith,Taylor_Smith@williams-burns.info,1985-04-09,8532231,Taylor Smith,invalid_mobile
Mark Reynolds,Mark_Reynolds@stokes-mcpherson.com,06/01/1989,1255759,Mark Reynolds,invalid_mobile
Marilyn Christensen,Marilyn_Christensen@cooper-ward.com,26-03-2008,94007639,Marilyn Christensen,below_18
Denise Atkins,Denise_Atkins@smith-shelton.net,2011/01/18,691611,Denise Atkins,invalid_mobile;below_18
Melissa Gonzales,Melissa_Gonzales@collins.com,2018-11-03,513771,Melissa Gonzales,invalid_mobile;below_18
Henry Hoffman,Henry_Hoffman@hubbard-garrett.com,18-05-1965,38756,Henry Hoffman,invalid_mobile
Daisy Davenport,Daisy_Davenport@spencer-guerrero.info,1993/01/15,20866,Daisy Davenport,invalid_mobile
Christopher Paul,Christopher_Paul@smith-gonzales.com,18-03-1955,8029330,Christopher Paul,invalid_mobile
Kevin Craig,Kevin_Craig@osborne-hudson.biz,14-04-2011,939093,Kevin Craig,invalid_mobile;below_18
Natalie Coleman,Natalie_Coleman@robertson.com,2011/10/17,80856,Natalie Coleman,invalid_mobile;below_18
Jeremy Strickland,Jeremy_Strickland@adkins.com,12/23/1950,2015 1487,Jeremy Strickland,invalid_mobile
Gary Bonilla,Gary_Bonilla@carr.biz,03/16/1992,636849,Gary Bonilla,invalid_mobile
Heidi Perez,Heidi_Perez@harper.com,13-04-1970,215895,Heidi Perez,invalid_mobile
Robert Johnson,Robert_Johnson@mitchell.info,10/18/2000,6258351,Robert Johnson,invalid_mobile
Gary Mills,Gary_Mills@pearson-benson.com,1957-01-10,18231,Gary Mills,invalid_mobile
Chelsea Caldwell,Chelsea_Caldwell@gomez.com,17-02-1995,268449,Chelsea Caldwell,invalid_mobile
John Frye,John_Frye@johnson.org,11/18/1950,3519734,John Frye,invalid_mobile
Michael Strong,Michael_Strong@bradley.com,24-11-1969,575217,Michael Strong,invalid_mobile
Christopher Delgado,Christopher_Delgado@robinson.com,2016-07-16,715353,Christopher Delgado,invalid_mobile;below_18
Rebecca Martinez,Rebecca_Martinez@russell.com,10/26/1988,171597,Rebecca Martinez,invalid_mobile
Marissa Mccoy,Marissa_Mccoy@ruiz.com,1991-08-23,9407994,Marissa Mccoy,invalid_mobile
Ricky Kerr,Ricky_Kerr@fischer-savage.biz,2006/04/27,200889,Ricky Kerr,invalid_mobile;below_18
Anna Campbell,Anna_Campbell@alvarez.com,11-04-1991,875505,Anna Campbell,invalid_mobile
Marie Walters,Marie_Walters@navarro.biz,1978-03-10,995145,Marie Walters,invalid_mobile
Marc Davis,Marc_Davis@harris.com,05/20/1980,9659 7403,Marc Davis,invalid_mobile
James Dixon,James_Dixon@manning.com,05/18/2007,337551,James Dixon,invalid_mobile;below_18
Vicki Ramirez,Vicki_Ramirez@mcdonald.com,2013-01-17,71806,Vicki Ramirez,invalid_mobile;below_18
Krista Campbell,Krista_Campbell@stark.net,24-04-1994,357441,Krista Campbell,invalid_mobile
Lauren Patterson,Lauren_Patterson@love-taylor.net,12/01/2009,85706,Lauren Patterson,invalid_mobile;below_18
Megan Clark,Megan_Clark@lutz-garrison.info,1960/09/28,17556,Megan Clark,invalid_mobile
Judy Zimmerman,Judy_Zimmerman@baker.com,11/09/2017,6415123,Judy Zimmerman,invalid_mobile;below_18
Joseph Williams MD,Joseph_Williams@wall-smith.info,2001-07-01,97871,Joseph Williams,invalid_mobile
Lori Acevedo,Lori_Acevedo@randolph.com,30-10-1978,50796,Lori Acevedo,invalid_mobile
Dawn Snyder,Dawn_Snyder@long-hamilton.info,1956-07-08,245361,Dawn Snyder,invalid_mobile
Jennifer Simmons,Jennifer_Simmons@matthews.com,05-11-1984,69056,Jennifer Simmons,invalid_mobile
Alyssa Nunez,Alyssa_Nunez@johnson.com,1992-08-24,46831,Alyssa Nunez,invalid_mobile
Robert Black,Robert_Black@cooper.biz,19-06-1980,768243,Robert Black,invalid_mobile
Julia Young,Julia_Young@bishop.info,20-07-1989,67471,Julia Young,invalid_mobile
Melinda Barnes,Melinda_Barnes@porter.com,1953/06/18,83881,Melinda Barnes,invalid_mobile
Mr. Brett Armstrong,Brett_Armstrong@baker-madden.net,03/17/1982,849219,Brett Armstrong,invalid_mobile
Erik Stevenson,Erik_Stevenson@byrd.com,2007-07-06,171309,Erik Stevenson,invalid_mobile;below_18
Daniel George,Daniel_George@wolf-rojas.com,1984-12-09,280101,Daniel George,invalid_mobile
Lindsey Jones,Lindsey_Jones@roberts-gonzalez.net,27-03-1954,3487156,Lindsey Jones,invalid_mobile
Virginia Lopez,Virginia_Lopez@anderson.com,05-08-1993,4644613,Virginia Lopez,invalid_mobile
Andrew Brown,Andrew_Brown@lindsey-villanueva.com,1992-04-04,2683360,Andrew Brown,invalid_mobile
Donna Lowery,Donna_Lowery@warren.info,1955/03/26,1934388,Donna Lowery,invalid_mobile
Alexis Andrade,Alexis_Andrade@santiago.com,05/04/2014,77956,Alexis Andrade,invalid_mobile;below_18
Alyssa Pierce,Alyssa_Pierce@ruiz.com,05/16/1968,9583 9991,Alyssa Pierce,invalid_mobile
Tara Johnson,Tara_Johnson@smith-brown.com,01/01/1962,74946,Tara Johnson,invalid_mobile
Pamela Scott,Pamela_Scott@thompson-myers.com,04/08/1994,90651,Pamela Scott,invalid_mobile
Martin Ward,Martin_Ward@jones.info,1992-08-15,787521,Martin Ward,invalid_mobile
